Weblink_to_slide_at_NHMUK_Data_Portal,IRN,ZF_PF_no.,Slide_square_no.,Genus,cf.,Species,Sub_species,Notes_on_slides,Geologic_time,Grade,No_of_individuals,Observations_M.C.Rillo.2015,Buckley_Slide_SL_no.,Former_Museum_no.,IRN_Residue_OBD,Vessel,Station_no.,Collection_date,Collection_info,Sea_Depth_meters_NOAA,Sea_Depth_meters,Sea_Depth_fathoms,Sea_Depth_feet,Tow,Sample_depth_min_cm,Sample_depth_max_cm,Lat.decimal,Long.decimal,Lat.degrees,Lat.minutes,Lat.seconds,Lat.N.S,Long.degrees,Long.minutes,Long.seconds,Long.W.E,Ocean_Sea
http://data.nhm.ac.uk/object/68a84495-407c-4eec-a88b-61c19b64f2f7,5271506,5799,,Globorotalia,,tumida,,,,,9,,379,M.3787,34671,HMS Egeria,,31/10/1887,,-2708,2869,1569,9414,0,,,-19.56667,64.63333,19,34,0,S,64,38,0,E,Indian ocean
http://data.nhm.ac.uk/object/3a32e75f-1fa5-43a5-8f1e-940d150eecb1,5271507,5800,,Globorotalia,,tumida,,,,,11,,400,M.7525.A,37190,HMS Sealark,,31/07/05,,-3322,3919,2143,12858,0,,,-12.11667,64.125,12,7,0,S,64,7,30,E,Indian ocean
http://data.nhm.ac.uk/object/7255b1c4-1f0c-4e19-9c25-8492682e947b,5271508,5801,,Globorotalia,,tumida,,,,,1,,426,M.4292,35238,HMS Egeria,,01/04/1894,,-2658,2749,1503,9018,0,,,7.08333,73.80417,7,5,0,N,73,48,15,E,Indian ocean near coast
http://data.nhm.ac.uk/object/90a64dd6-a18c-4188-881e-448626ad48a9,5271510,5802,,Globorotalia,,tumida,,,,,12,"Slide: 02/11/1905, Lat 2 41 1 S",436,M.7488,37149,HMS Sealark,186,12/11/05,,-3594,3475,1900,11400,0,,,-2.70167,67.38333,2,42,6,S,67,23,0,E,Indian ocean
http://data.nhm.ac.uk/object/ea75e058-996b-4afc-8582-ed1766f3576e,5271511,5803,,Globorotalia,,tumida,,,,+250 mu,11,,454,M.7487,37148,HMS Sealark,181,09/11/05,,-3507,3758,2055,12330,0,,,-7.59167,61.48333,7,35,30,S,61,29,0,E,Indian ocean
http://data.nhm.ac.uk/object/448ecb92-22f1-4960-aa91-e8fe0148f455,5271512,5804,,Globorotalia,,tumida,,,,+250 mu,16,,493,M.3791,34676,HMS Egeria,XX,12/11/1887,,-4646,4510,2466,14796,0,,,-23.23472,56.30417,23,14,5,S,56,18,15,E,Indian ocean
http://data.nhm.ac.uk/object/78756dd0-78cb-490e-b0e5-05320537e7bd,5271513,5805,,Globorotalia,,tumida,,,,,3,,605,,17273,RNZFA Tui,N.Z.1.0.B.74 ; O31,09/09/58,,-124,869,475,2850,0,,,-20.95,-175.23333,20,57,0,S,175,14,0,W,Pacific ocean near Tonga island
http://data.nhm.ac.uk/object/ed46e696-48ed-4552-9732-468a7f778e4c,5271514,5806,,Globorotalia,,tumida,,,,,9,,712,M.284,33668,HMS Challenger,220,11/03/1875,,-2213,2012,1100,6600,0,,,-0.7,147,0,42,0,S,147,0,0,E,Pacific ocean
http://data.nhm.ac.uk/object/c30eac44-7379-41ef-9734-ec6810e1acad,5271515,5807,,Globorotalia,,tumida,,,,,14,,726,M.5987,36515,HMS Penguin,,05/05/1897,,-4057,4188,2290,13740,0,,,-9.68333,-174.625,9,41,0,S,174,37,30,W,Pacific ocean
http://data.nhm.ac.uk/object/dfbeb467-427d-4258-ba68-2b73cf5dd563,5271516,5808,,Globorotalia,,tumida,,,,,18,,732,M.7037,36683,HMS Penguin,,06/09/1897,,-4634,4243,2320,13920,0,,,1.21333,-161.83667,1,12,48,N,161,50,12,W,Pacific ocean
http://data.nhm.ac.uk/object/2bfaea7d-22ab-46d9-82af-b870d2122ccb,5271517,5809,,Globorotalia,,tumida,,,,,11,"Slide: 21/05/1898, Long 178 52 E",742,M.5840,36361,HMS Penguin,3,21/05/1896,,-4844,4965,2715,16290,0,,,-10.21472,178.01444,10,12,53,S,178,0,52,E,Pacific ocean
http://data.nhm.ac.uk/object/554916d9-5818-4798-948c-c16ea35c6a6b,5271519,5810,,Globorotalia,,tumida,,,,,13,Slide: Long 145 41 3 W,762,M.7059,36704,HMS Penguin,723,20/09/1897,,-3952,4071,2226,13356,0,,,-13.17167,-175.68833,13,10,18,S,175,41,18,W,Pacific ocean
http://data.nhm.ac.uk/object/866a91b0-44ac-49a0-926b-6bc7744dea8a,5271520,5811,,Globorotalia,,tumida,,,,,12,,787,M.4080,34993,HMS Egeria,,26/08/1889,,-2519,2579,1410,8460,0,,,-15.65,-179.0625,15,39,0,S,179,3,45,W,Pacific ocean
http://data.nhm.ac.uk/object/3ffa2c6a-efd7-481b-98c8-bf70973d099f,5271521,5812,,Globorotalia,,tumida,,,,,26,Sample depth: 20-23?,799,"1965,O37",17338,RV Vema,V 14-100,25/05/58,,-3663,3910,2138,12828,0,22,23,3.86667,65.51667,3,52,0,N,65,31,0,E,Indian ocean
http://data.nhm.ac.uk/object/1572a614-c8f5-4e6c-8f83-88f05b55347f,5271522,5813,,Globorotalia,,tumida,,,Pleistocene Gunz,,4,,885,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,-3182,3000,1640,9840,0,545,548,21.2,-45.35,21,12,0,N,45,21,0,W,Atlantic ocean
http://data.nhm.ac.uk/object/8c785451-de35-414b-b66c-1074b3b382a2,5271523,5814,,Globorotalia,,tumida,,,Pleistocene Gunz,,13,Sample depth: 5-8?,937,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,-4123,3380,1848,11088,0,5,6,-9.75,-34.4,9,45,0,S,34,24,0,W,Atlantic ocean near Brazil
http://data.nhm.ac.uk/object/70f1f0fa-7170-4764-9a66-05bf1d4840be,5271524,5815,,Globorotalia,,tumida,,,,,0,Did not find IRN,1059,"1967,O384",NA,"W. Equatorial, Atlantic",,03/04/63,,NA,0-200,NA,NA,1,tow,tow,NA,NA,NA,NA,NA,,NA,NA,NA,,
http://data.nhm.ac.uk/object/ff532ae6-e019-4bd6-9500-04e9be0e7d29,5271525,5816,,Globorotalia,,tumida,,,,,5,"Slide: ""Ombango""",1065,,18575,Omango Cruise 20,514,08/09/64,0-50 m,-5067,NA,NA,NA,1,tow,tow,-7.6,5.41667,7,36,0,S,5,25,0,E,Atlantic ocean
http://data.nhm.ac.uk/object/5333b449-12c8-4ee7-bb27-5248337d4fe3,5271526,5817,,Globorotalia,,tumida,,,,,1,,1102,,18719,Anton Bruun (A.B.) cruise 2,"Stn 139, no. 796",12/07/63,,-5228,0-250,NA,NA,1,tow,tow,-8.61667,79.56667,8,37,0,S,79,34,0,E,Indian ocean
http://data.nhm.ac.uk/object/f32fc413-5c13-4ea9-9da4-ddfe157bab09,5271527,5818,,Globorotalia,,tumida,,,Zone N21,,13,Slide: Long 6 4  E,1161,"1968,O242",18483,RV Argo,Dodo 117 P,18/06/64,Piston core,-3407,3398,1858,11148,0,99,102,-18.35,62.06667,18,21,0,S,62,4,0,E,Indian ocean
http://data.nhm.ac.uk/object/5d871a0e-4c92-42ce-a37f-c6a78e9dd96c,5271528,5819,,Globorotalia,,tumida,,,,,2,,1399,"1968,O446",18595,Oceanographer,Stn 16,17/08/67,,-1590,50,27,162,1,tow,tow,-18.38333,113.36667,18,23,0,S,113,22,0,E,Indian ocean
http://data.nhm.ac.uk/object/5edc459e-f5e8-410d-bdf2-f5d25aa179d3,5271530,5820,,Globorotalia,,tumida,,,,,1,,1416,"1968,O449",18598,Oceanographer,Stn 19,20/08/67,,-1056,50,27,162,1,tow,tow,-26.08333,111.6,26,5,0,S,111,36,0,E,Indian ocean
http://data.nhm.ac.uk/object/18327c82-508d-45c8-b2f0-638f0d404835,5271531,5821,,Globorotalia,,tumida,,,Zone Lower N19,,8,,1473,"1968,O380",18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,-3735,3400,1859,11154,0,544,546,-14.26667,-119.18333,14,16,0,S,119,11,0,W,Pacific ocean
