"lat","long","Sample_depth_min_cm","Sample_depth_max_cm","sample_type","Sea_Depth_meters_NOAA","Ocean","OBD_IRN","adamsi","bulloides","calida","conglobatus","conglomerata","crassaformis","dehiscens","digitata","dutertrei","falconensis","hexagona","hirsuta","humilis","inflata","menardii","obliquiloculata","pachyderma","quinqueloba","ruber","rubescens","sacculifera","scitula","siphonifera","tenellus","trilobus","truncatulinoides","tumida","universa","glutinata","iota","nitida","pelagica","uvula","various","ssp_richness","total_idind","total_ind"
-77,-156.45,"","","no_info",-155,"Pacific ocean Antartic",14782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,35
-68.32,31.35333,"","","no_info",-974,"Antarctic Indian Ocean",15900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,72
-66.63333,-178.78333,"","","no_info",-3511,"Pacific ocean Antartic",31149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,25
-64.55833,-166.5,"","","no_info",-2846,"Pacific ocean",31168,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,12
-64.3,94.78333,"","","no_info",-2514,"Antartic Ocean",32618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
-61.25,-64.71389,"","","no_info",-3314,"Pacific ocean Antartic",19576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,56
-53.63333,169.86667,"","","no_info",-746,"Pacific ocean",17262,0,22,0,0,0,0,0,0,0,0,0,0,0,40,0,0,55,8,0,0,0,1,0,0,0,21,0,5,16,0,0,0,0,0,8,168,168
-50.01667,123.06667,"","","no_info",-3976,"Antarctic Indian Ocean",32657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,12,12
-46,-123,"","","no_info",-4012,"Pacific ocean",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5
-44,-50.26667,"","","no_info",-5430,"Atlantic ocean",18263,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18
-42.65,45.66667,"top","","no_info",-2939,"Indian ocean",16146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,20
-41.967,-0.25,"","","no_info",-624,"Atlantic ocean",19790,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,1,44,273
