IRN,BM no.: (Registration)/BM Number: (BM Number),Quantity: (Sample Information),Object
11881,"BM.1980,O92",,"BM.1980,O92, 44, HMS Hydra, 04/06/1980, 55 23  N; 8 16 22 W; Northeast Atlantic Ocean, underway sampler"
12007,"BM.1937,1614(31)",,"BM.1937,1614(31), 31, HMS Challenger, 05/08/1936, 10 9 12 N; 61 40 48 W; Western Central Atlantic Ocean"
12008,"BM.1937,1614(32)",,"BM.1937,1614(32), 32, HMS Challenger, 01/09/1936, 10 26 54 N; 61 55 48 W; Western Central Atlantic Ocean"
12009,"BM.1937,1614(33)",,"BM.1937,1614(33), 33, HMS Challenger, 02/09/1936, 10 17 42 N; 61 48 6 W; Western Central Atlantic Ocean"
12010,"BM.1937,1614(34)",,"BM.1937,1614(34), 34, HMS Challenger, 03/09/1936, 10 22 54 N; 61 58 18 W; Western Central Atlantic Ocean"
12011,"BM.1937,1614(35)",,"BM.1937,1614(35), 35, HMS Challenger, 17/09/1936, 10 13 24 N; 61 57 6 W; Western Central Atlantic Ocean"
12012,"BM.1937,1614(36)",,"BM.1937,1614(36), 36, HMS Challenger, 22/09/1936, 10 10 48 N; 61 59 48 W; Western Central Atlantic Ocean"
12013,"BM.1937,1614(37)",,"BM.1937,1614(37), 37, HMS Challenger, 13/10/1936, 10 26 18 N; 62 2 48 W; Western Central Atlantic Ocean"
12014,"BM.1937,1614(4)",Small amount,"BM.1937,1614(4), 4, HMS Challenger, 27/06/1936, 10 31 12 N; 61 50 18 W; Western Central Atlantic Ocean"
12015,"BM.1937,1614(5)",,"BM.1937,1614(5), 5, HMS Challenger, 08/06/1936, 10 44 24 N; 61 39 48 W; Western Central Atlantic Ocean"
12016,"BM.1937,1614(6)",,"BM.1937,1614(6), 6, HMS Challenger, 17/06/1936, 10 9 36 N; 61 52 6 W; Western Central Atlantic Ocean"
12017,"BM.1937,1614(7)",,"BM.1937,1614(7), 7, HMS Challenger, 23/06/1936, 10 10 48 N; 61 47 30 W; Western Central Atlantic Ocean"
12018,"BM.1937,1614(8)",,"BM.1937,1614(8), 8, HMS Challenger, 30/06/1936, 10 9 36 N; 61 48 30 W; Western Central Atlantic Ocean"
12019,"BM.1937,1614(9)",Small amount,"BM.1937,1614(9), 9, HMS Challenger, 03/07/1936, 10 19 54 N; 61 48 54 W; Western Central Atlantic Ocean"
12020,"BM.1937,1615(1)",,"BM.1937,1615(1), 1, HMS Endeavour, 28/03/1937, 14 59 12 N; 54 46  E; Western Indian Ocean"
12021,"BM.1937,1615(2)",,"BM.1937,1615(2), 2, HMS Endeavour, 29/03/1937, 15 50 36 N; 59 3 18 E; Western Indian Ocean"
12022,"BM.1937,1615(3)",,"BM.1937,1615(3), 3, HMS Endeavour, 31/03/1937, 15 50 36 N; 64 0 6 E; Western Indian Ocean"
12023,"BM.1937,1615(4)",,"BM.1937,1615(4), 4, HMS Endeavour, 01/04/1937, 16 56 36 N; 68 24 48 E; Western Indian Ocean"
12024,"BM.1937,1615(5)",,"BM.1937,1615(5), 5, HMS Endeavour, 19/03/1937, 5 41 24 N; 81 52 42 E; Eastern Indian Ocean"
12025,"BM.1937,1615(6)",,"BM.1937,1615(6), 6, HMS Endeavour, 20/04/1937, 5 50 6 N; 85 27 54 E; Eastern Indian Ocean"
12026,"BM.1937,1615(7)",,"BM.1937,1615(7), 7, HMS Endeavour, 21/04/1937, 5 45 42 N; 89 5 24 E; Eastern Indian Ocean"
12027,"BM.1937,1616",,"BM.1937,1616, 1, HMS Stork, 06/11/1936, 10 16 12 N; 61 52 42 E; Western Indian Ocean"
12028,"BM.1938,1290(1)",,"BM.1938,1290(1), 20, HMS Challenger, 01/03/1938, 13 41 8 N; 58 18 8 W; Western Central Atlantic Ocean"
12029,"BM.1938,1290(10)",,"BM.1938,1290(10), 4, HMS Challenger, 22/03/1938, 11 50  N; 62 44 6 W; Western Central Atlantic Ocean"
