"lat","long","lat_deg","lat_min","lat_sec","lat_N_S","long_deg","long_min","long_sec","long_W_E","tow","sample_depth_min","sample_depth_max","sample_type","buckley_sea_depth","NOAA_sea_depth","Diff_Buckley_NOAA","Ocean","OBD_IRN","acostaensis","adamsi","altispira","anfracta","bollii","bulloides","calida","conglobatus","conglomerata","crassaformis","dehiscens","decoraperta","digitata","dutertrei","falconensis","fohsi","glomerosa","glutinata","hexagona","hirsuta","humerosa","humilis","inflata","iota","insueta","mayeri","menardii","minuta","mitra","multicamerata","nepenthes","nitida","obliquiloculata","obliquus","pachyderma","pelagica","praepumilio","primalis","pseudofoliata","pumilio","punctulata","quinqueloba","ruber","rubescens","sacculifera","scitula","seminulina","siphonifera","spectabilis","subdehiscens","tenellus","tosaensis","trilobus","truncatulinoides","tumida","universa","uvula","venezuelana","various","ssp_richness","total_idind","total_ind"
-16.65,113.05,16,39,0,"S",113,3,0,"E",1,"tow","tow","tow","50",-2506,NA,"Indian ocean",18611,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,13,0,25,0,0,6,0,0,0,0,0,0,20,0,0,0,0,8,75,75
-50.01667,123.06667,50,1,0,"S",123,4,0,"E",0,"no_info","no_info","no_info","3292",-3976,-684,"Antarctic Indian Ocean",32657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,12,12
-43.71667,-107.6,43,43,0,"S",107,36,0,"W",0,"3","6","top_core","3220",-3141,79,"Pacific Ocean",16649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,5,31,31
-26.31667,-147.11667,26,19,0,"S",147,7,0,"W",0,"3","6","top_core","3680",-2312,1368,"Pacific Ocean",16646,0,0,0,0,0,0,0,10,0,12,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,24,0,15,0,0,12,0,0,0,0,0,4,0,0,0,0,0,9,97,97
-46.75,-123,46,45,0,"S",123,0,0,"W",0,"6","11","top_core","4040",-4030,10,"Pacific Ocean",16647,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,3,100,100
-48.475,-113.28333,48,28,30,"S",113,17,0,"W",0,"0","8","top_core","2580",-2677,-97,"Pacific Ocean",16648,0,0,0,0,0,20,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,14,0,0,0,8,0,0,0,0,0,0,0,20,0,0,0,0,0,9,136,136
-27.93333,-106.91667,27,56,0,"S",106,55,0,"W",0,"13","20","top_core","3060",-3039,21,"Pacific Ocean",16651,0,0,0,0,0,0,0,17,0,0,6,0,10,0,0,0,0,15,2,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,13,0,12,0,0,14,0,0,8,0,0,14,0,0,0,0,29,13,127,156
-28.88333,170,28,53,0,"S",170,0,0,"E",0,"no_info","no_info","no_info","2268",-3021,-753,"Pacific ocean, Tasman sea",17240,0,0,0,0,0,35,0,13,0,22,2,0,7,15,30,0,0,21,0,0,0,0,71,0,0,0,0,0,0,0,0,1,12,0,20,1,0,0,0,0,0,0,16,2,20,8,0,20,0,0,12,0,0,20,0,10,0,0,249,21,358,607
-33.88333,173.83333,33,53,0,"S",173,50,0,"E",0,"no_info","no_info","no_info","1920",-2464,-544,"Pacific ocean, Tasman sea",17229,0,0,0,0,0,38,0,4,0,37,0,0,2,24,2,0,0,18,0,10,0,0,32,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,15,2,15,0,0,8,0,0,7,0,0,16,0,6,0,0,3,18,262,265
-39.76667,167.75,39,46,0,"S",167,45,0,"E",0,"no_info","no_info","no_info","1148",-1137,11,"Pacific ocean, Tasman sea",17031,0,0,0,0,0,9,0,0,0,3,0,0,2,2,17,0,0,16,0,49,0,0,42,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,7,9,0,0,2,0,18,0,0,0,0,0,24,0,10,0,0,38,15,236,274
