IRN,PF no.,Square,Genus,,Species,Sub-species,Notes on slides,Era,Grade,No. of individuals,No. positioned individuals,Observations Marina,Buckley Slide/SL,Museum no.,Residue IRN,Cruise name,Cruise station no.,Collection date,Observations,Collect info,tow,Sea Depth NOAA (m),Sea Depth (m),Sea Depth (fms),Sea Depth (feet),Sample depth (cm),sample_depth_min,sample_depth_max,Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
5562024,71370,,Pulleniatina,,primalis,,Barnes & Blow,Zone N18,,7,,,1268,"1968,O382",,RV Spencer F. Baird,CAP 38 BP,02/02/53,Did not find IRN,,,,3400,1859,,626-629,626,629,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562025,71371,,Pulleniatina,,primalis,,,Zone N18 base,,7,,,1255,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,789-791,789,791,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562026,71372,,Pulleniatina,,primalis,,,Lower N19,,3,,,1461,"1968,O380",18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,544-546,544,546,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562027,71373,,Pulleniatina,,obliquiloculata cf. primalis,,,N19 top ,,5,,,1583,"1968,O379",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,503-505,503,505,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562028,71374,,Globigerinoides,,bollii,,,Zone N18 base,,5,,,1244,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,789-791,789,791,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562029,71375,,Globigerinoides,,bollii,,,Lower N19,,6,,,1466,"1968,O380",18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,544-546,544,546,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562030,71376,,Globigerinoides,,bollii,,,N19 top ,,3,,,1574,"1968,O379",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,503-505,503,505,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562031,71377,,Globigerinoides,,obliquus,,,Zone N18 base,,1,,,1246,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,789-791,789,791,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562032,71378,,Globigerinoides,,"obliquus, bollii?",,,U. Miocene,,11,,,1138,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5562033,71379,,Globigerinoides,,"ruber, obliquus, bollii",,,N21,,54,,,1601,"1968,O378",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,488-490,488,490,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
